"pid","brand","season","category","subcategory","subsubcategory","numeric_size","count_size","price","total_sold","total_returned","offline_sales","offline_return","online_sales","online_return","online_percentage","unique_channel_count","SR","SO","introduction_time","introduction_season","first_return","return_rate","yearly_return_rate"
"1b421e5362218a1","CanvasCraft","Winter","Sweaters","Adult","Waist Wrap",0,1,58.4,1,0,0,0,1,0,1,1,5,1,0.753424657534247,2,0,0,0
"1e735b1fbe1c94c","CanvasCraft","Winter","Sweaters","Adult","High-Neck",0,1,55.27,1,0,0,0,1,0,1,1,5,1,0.950684931506849,3,0,0,0
"0afc78498bc4522","OldVine Styles","Summer","Button-Ups","Petite","Relaxed Long-Sleeve",0,6,50.977,8,0,0,0,8,0,1,1,5,1,0.010958904109589,0,0,0,0.0764331210191083
"40e3e0f8be69466","RavenRock","Winter","Footwear","Adult","Walkers",1,6,61.625,3,1,1,-1,2,0,0.666666666666667,2,4,2,0.83013698630137,3,0.0356164383561644,0.333333333333333,0.333333333333333
"983a839b1827955","BlueRiver Co.","Summer","Blazers","Petite","Sleeveless",1,5,60.126,1,0,0,0,1,0,1,1,5,1,0.156164383561644,0,0,0,0.3
"3eda8c279c9dedd","AzureStone","Winter","Trousers","Adult","Blue Threads",1,22,58.41,29,0,25,0,4,0,0.137931034482759,11,5,2,0.589041095890411,2,0,0,0.0358974358974359
"e63f42aa7e65d8e","LookSee","Summer","Footwear","Adult","Walkers",1,7,57.939,3,1,0,0,3,-1,1,1,4,1,0.0273972602739726,0,0.0273972602739726,0.333333333333333,0.285714285714286
"9020971b91cab2c","MetalMold","Winter","Sweaters","Adult","Round-Top",0,5,52.582,6,1,0,0,6,-1,1,1,4,1,0.756164383561644,2,0.0273972602739726,0.166666666666667,0.333333333333333
"59a42a820f1e9b4","Skyward","Winter","Footwear","Adult","Walkers",1,6,63.277,1,0,0,0,1,0,1,1,5,1,0.717808219178082,2,0,0,0.2
"df02bf0b0a617f2","SkyWing","Winter","Footwear","Adult","Walkers",1,2,60.135,1,0,0,0,1,0,1,1,5,1,0.764383561643836,2,0,0,0.5
"dfcf1cfa09bfc49","ChillCube","Winter","Sweaters","Adult","Round-Top",0,4,59.292,4,0,3,0,1,0,0.25,2,5,2,0.586301369863014,2,0,0,0.307692307692308
"d0e634823c0512a","VisionMakers","Summer","Tops","Adult","Sporty Short-Sleeve",0,4,56.3,7,0,6,0,1,0,0.142857142857143,2,5,2,0.175342465753425,1,0,0,0
"5e42bda76ae3206","AzureWorks","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",1,7,53.993,10,0,10,0,0,0,0,7,5,0,0.638356164383562,2,0,0,0.05
"b6cb9cc8a14c55a","OceanSketch Elite","Winter","Sweaters","Petite","Waist Wrap",0,6,52.58,6,0,5,0,1,0,0.166666666666667,5,5,2,0.723287671232877,2,0,0,0.0851063829787234
"cdccdcd2dd400bb","Blend&Woven","Summer","Tops","Adult","Quick-Sleeve Top",0,5,44.232,12,1,11,-1,1,0,0.0833333333333333,8,4,2,0.249315068493151,1,0.0301369863013699,0.0833333333333333,0.0776699029126214
"2e99d48ccc77894","PureDenim","Summer","Outerwear","Adult","Light Outer",0,3,61.627,1,0,1,0,0,0,0,1,5,0,0.326027397260274,1,0,0,0.4
"cf1558e38a83661","SkyWing","Summer","Tops","Adult","Sporty Short-Sleeve",0,5,50.984,5,0,0,0,5,0,1,1,5,1,0.150684931506849,0,0,0,0.0625
"d5f500ef3b80362","EchoStyles","Winter","High-End Items","End Items","Blue Threads",1,14,60.83,6,0,6,0,0,0,0,5,5,0,0.586301369863014,2,0,0,0.0967741935483871
"78534bd2744b5f4","AzureWorks","Winter","Trousers","Adult","Lounge Pants",1,6,53.993,19,1,16,-1,3,0,0.157894736842105,9,4,2,0.791780821917808,2,0.0493150684931507,0.0526315789473684,0.0277777777777778
"a1199a1510e40b7","SilkLeaf","Summer","Sweaters","Adult","Round-Top",1,4,67.955,3,0,2,0,1,0,0.333333333333333,2,5,2,0.493150684931507,2,0,0,0.333333333333333
"8126f521efb7b9f","LunarLuxe","Winter","Outerwear","Adult","Puff Jacket",1,4,66.21,4,1,3,0,1,-1,0.25,2,4,2,0.747945205479452,2,0.0547945205479452,0.25,0.166666666666667
"fa4357b5c763c78","PineAndFern","Winter","Tops","Adult","Quick-Sleeve Top",0,1,44.25,1,1,0,0,1,-1,1,1,3,1,0.665753424657534,2,0.0602739726027397,1,0.333333333333333
"e780d44112bd726","CloudNine","Winter","Footwear","Adult","Walkers",1,7,63.576,4,0,2,0,2,0,0.5,3,5,2,0.493150684931507,2,0,0,0.1
"3912e0d8ec6d169","GeoStyles","Winter","Footwear","Adult","Walkers",1,6,63.577,2,0,2,0,0,0,0,2,5,0,0.772602739726027,2,0,0,0.0588235294117647
"2322c5b2893d79e","DocMan","Winter","Miscellaneous","Adult","Neck Wrap",1,1,52.57,1,0,0,0,1,0,1,1,5,1,0.876712328767123,3,0,0,0
"b657ffacc963ee4","UrbanAce","Winter","Tops","Adult","Quick-Sleeve Top",0,4,48.067,6,1,4,0,2,-1,0.333333333333333,3,4,2,0.326027397260274,1,0.0383561643835616,0.166666666666667,0.222222222222222
"fcf8aa2e206d289","BlueRidge","Summer","Miscellaneous","Adult","Top Covers",1,1,40.79,2,0,2,0,0,0,0,1,5,0,0.761643835616438,2,0,0,0
"e1164b6e8fd89e4","MeadowMaster","Winter","Sweaters","Adult","High-Neck",0,4,53.86,6,1,2,0,4,-1,0.666666666666667,2,4,2,0.66027397260274,2,0.0465753424657534,0.166666666666667,0.488888888888889
"9960d1566eb1c06","BigStone","Summer","Tops","Adult","Sporty Short-Sleeve",1,4,58.318,2,0,2,0,0,0,0,1,5,0,0.271232876712329,1,0,0,0
"3eb435f489dd315","RhythmWear","Winter","Sweaters","Adult","Hood Top",0,5,61.27,2,0,2,0,0,0,0,2,5,0,0.747945205479452,2,0,0,0
"cbf6f3d967815f5","PlaidCrafters","Summer","Sweaters","Adult","Waist Wrap",0,5,59.3,2,1,1,0,1,-1,0.5,2,4,2,0.164383561643836,0,0.0246575342465753,0.5,0.5
"441dce51fbc5a02","AzureMeat","Winter","Outerwear","Adult","Puff Jacket",0,5,66.256,3,1,0,0,3,-1,1,1,4,1,0.854794520547945,3,0.0246575342465753,0.333333333333333,0.333333333333333
"a2a4d64e46124a6","FrontlineStyles","Summer","Blazers","Adult","Casual Jacket",1,6,65.77,8,0,8,0,0,0,0,7,5,0,0.172602739726027,1,0,0,0.032258064516129
"93bc09c69c2e378","SoftTrend","Summer","Tops","Adult","Sporty Short-Sleeve",0,4,53.983,3,2,1,0,2,-2,0.666666666666667,2,4,2,0.287671232876712,1,0.0164383561643836,0.666666666666667,0.206896551724138
"2512a2c5dafb699","PuzzleWear","Winter","High-End Items","End Items","Business Long-Sleeve",1,6,60.9,2,0,2,0,0,0,0,1,5,0,0.701369863013699,2,0,0,0
"204f1acf6b7e270","MoonWear","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",0,3,55.257,11,0,11,0,0,0,0,4,5,0,0.682191780821918,2,0,0,0
"e269afba188d460","Blend&Woven","Winter","Sweaters","Adult","Hood Top",0,4,55.245,11,1,11,-1,0,0,0,7,4,0,0.567123287671233,2,0.00273972602739726,0.0909090909090909,0.0447761194029851
"720349db332dc02","FrontlineStyles","Winter","Sweaters","Adult","Round-Top",0,5,55.256,21,1,21,-1,0,0,0,9,4,0,0.73972602739726,2,0.0191780821917808,0.0476190476190476,0.075
"85233602d219211","TulipTread","Winter","Footwear","Adult","Walkers",1,1,63.58,1,1,0,0,1,-1,1,1,3,1,0.90958904109589,3,0.0575342465753425,1,1
"40915bb868f615d","SkyWing","Summer","Tops","Adult","Quick-Sleeve Top",0,5,40.818,12,0,0,0,12,0,1,1,5,1,0.136986301369863,0,0,0,0.26530612244898
"9e8113e117dad77","SkyWing","Summer","Tops","Adult","Quick-Sleeve Top",0,5,40.814,8,0,0,0,8,0,1,1,5,1,0.271232876712329,1,0,0,0.266666666666667
"4da5d2350251368","AzureWorks","Winter","Sweaters","Adult","Waist Wrap",0,4,53.998,14,0,14,0,0,0,0,7,5,0,0.632876712328767,2,0,0,0.0612244897959184
