"channel","date_id","pid","net_sales_amount","year","month"
"online",2022-04-01,"00018645b311291",1,"2022","04"
"AntwerpOutlet",2018-01-12,"0002c09028f0997",1,"2018","01"
"AntwerpOutlet",2022-01-22,"0002c09028f0997",1,"2022","01"
"AntwerpOutlet",2022-01-30,"0002c09028f0997",1,"2022","01"
"AntwerpOutlet",2022-02-01,"0002c09028f0997",1,"2022","02"
"AntwerpOutlet",2022-04-12,"000d60c255ea40d",1,"2022","04"
"AntwerpOutlet",2022-04-12,"000d60c255ea40d",1,"2022","04"
"AntwerpOutlet",2022-04-01,"0012b783cc24610",1,"2022","04"
"AntwerpOutlet",2022-04-10,"0012b783cc24610",1,"2022","04"
"LeuvenStyles",2022-03-31,"00184a25beb0581",1,"2022","03"
"GhentBoutique",2022-04-01,"00184a25beb0581",1,"2022","04"
"NamurPoint",2022-04-01,"00184a25beb0581",1,"2022","04"
"NamurPoint",2022-04-01,"00184a25beb0581",1,"2022","04"
"LeuvenStyles",2022-04-01,"00184a25beb0581",1,"2022","04"
"Franchise_NL",2022-04-02,"00184a25beb0581",1,"2022","04"
"NamurPoint",2022-04-02,"00184a25beb0581",1,"2022","04"
"GhentBoutique",2022-04-02,"00184a25beb0581",1,"2022","04"
"OstendStore",2022-04-02,"00184a25beb0581",1,"2022","04"
"LeuvenStyles",2022-04-02,"00184a25beb0581",1,"2022","04"
"LeuvenStyles",2022-04-10,"00184a25beb0581",1,"2022","04"
"GenkGallery",2022-04-01,"0028a2c5a106b50",1,"2022","04"
"OstendStore",2022-04-01,"0028a2c5a106b50",1,"2022","04"
"GenkGallery",2022-04-01,"0028a2c5a106b50",1,"2022","04"
"CharleroiDepot",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"CharleroiDepot",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"BruggeSquare",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"NamurPoint",2018-01-12,"0028a2c5a106b50",1,"2018","01"
"MonsPlaza",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"BrusselsMart",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"OstendStore",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"AalstEmporium",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"BrusselsMart",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"NamurPoint",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"GenkGallery",2022-04-02,"0028a2c5a106b50",1,"2022","04"
"GenkGallery",2022-04-02,"0028a2c5a106b50",1,"2022","04"
