"pid","brand","category","price","season","subcategory","subsubcategory","numeric_size","count_size"
"00018645b311291","StreamStride","Footwear",66.26,"Winter","Adult","Fancy Feet",1,1
"0002c09028f0997","ZenithMan","Sweaters",57.442,"Summer","Adult","Round-Top",0,4
"000d60c255ea40d","RefreshStyles","Miscellaneous",50.97,"Winter","Adult","Sleek Belt",1,1
"0012b783cc24610","RefreshStyles","Footwear",63.578,"Winter","Adult","Fancy Feet",1,5
"00184a25beb0581","Blend&Woven","Trousers",57.445,"Winter","Adult","Blue Threads",1,11
"00224c8caec6e96","SkyWing","Outerwear",66.68,"Winter","Adult","Puff Jacket",0,5
"0028a2c5a106b50","others","Sweaters",56.4,"Winter","Petite","Seafarer Top",0,6
"002b22cf4d1247a","FuelThreads","Sweaters",55.258,"Winter","Adult","Hood Top",0,4
"002c00ad103704d","LunarLuxe","Sweaters",57.45,"Summer","Adult","Waist Wrap",0,4
"002ced9ed153340","others","Tops",42.648,"Summer","Petite","Quick-Sleeve Top",0,5
"003d486b0890a6e","DarkHarbor","Trousers",52.577,"Summer","Petite","Mini Pants",1,6
"003f7b23afe2e4b","PedalPrime","Footwear",59.297,"Summer","Adult","Walkers",1,7
"00401f205861cb4","CanvasCraft","Button-Ups",53.98,"Winter","Adult","Relaxed Long-Sleeve",0,1
"004231d36ee967c","FrontlineStyles","Button-Ups",52.576,"Summer","Adult","Relaxed Short-Sleeve",0,5
"004500f185dec53","others","Trousers",65.252,"Summer","Adult","Business Bottoms",0,4
"004e81b565469e2","CanvasCraft","Tops",52.57,"Summer","Adult","Sporty Short-Sleeve",0,1
"005a56196fb1c40","BlueRiver Co.","Blazers",71.898,"Summer","Petite","Formal Jacket",1,5
"005bcd221e2062e","SkyWing","Sweaters",56.404,"Winter","Adult","High-Neck",0,5
"0060a26534cc630","EchoStyles","Trousers",59.212,"Summer","Adult","Blue Threads",1,6
"00634b3a8315015","GeoStyles","Footwear",62.313,"Summer","Adult","Easy Shoes",1,6
"0065ace3fe1f721","CanvasCraft","Outerwear",60.125,"Summer","Adult","Light Outer",1,2
"0071ffa188f4ce7","OldVine Styles","Button-Ups",49.12,"Summer","Petite","Relaxed Short-Sleeve",0,5
"0073f21bf4437e3","CanvasCraft","Button-Ups",52.57,"Summer","Adult","Relaxed Short-Sleeve",1,1
"0075b942eb5df27","DarkHarbor","Sweaters",58.405,"Winter","Petite","Round-Top",0,6
"0078bc5961498b6","CloudNine","Footwear",63.58,"Summer","Adult","Walkers",1,7
"007bf26c0b54eb7","VisionMakers","High-End Items",67.182,"Winter","End Items","Business Bottoms",1,4
"007d5dfe9d843a1","SkyWing","Tops",50.98,"Summer","Adult","Sporty Short-Sleeve",0,5
"007faa164d6d358","FlashBack","Button-Ups",50.974,"Summer","Petite","Business Long-Sleeve",1,8
"007fee93357e955","VisionMakers","Sweaters",63.572,"Winter","Adult","Round-Top",1,4
"008ea2a8b36b194","ChillCube","Tops",49.125,"Summer","Adult","Quick-Sleeve Top",0,4
"00900dca9802b6b","EchoStyles","High-End Items",60.05,"Winter","End Items","Relaxed Long-Sleeve",0,4
"0090a0eb6e4b818","ZenithMan","Sweaters",60.125,"Winter","Adult","High-Neck",0,4
"0093e383fef2b4c","MetalMold","Button-Ups",54,"Summer","Adult","Relaxed Short-Sleeve",0,4
"00a2f1f2dd5b1a2","SkyWing","Sweaters",55.262,"Winter","Adult","Seafarer Top",0,5
"00a539e7c0427de","PeakStyles","Button-Ups",52.572,"Summer","Adult","Business Long-Sleeve",1,8
"00a540b0518f7f3","AzureWorks","Sweaters",50.965,"Summer","Adult","Round-Top",0,4
"00af7795ed50ce7","ChillCube","Sweaters",58.407,"Winter","Adult","Warm Top",0,3
"00b6fa4cc68fd53","IvyCraft","Button-Ups",60.825,"Summer","Adult","Business Long-Sleeve",1,6
