"channel","date_id","pid","net_sales_amount"
"CH//Online",20220910,"00018645b311291",1
"CH//AntwerpOutlet",NA,"0002c09028f0997",1
"CH//AntwerpOutlet",20220226,"0002c09028f0997",1
"CH//AntwerpOutlet",20220306,"0002c09028f0997",1
"CH//AntwerpOutlet",20220320,"0002c09028f0997",1
"CH//AntwerpOutlet",20221025,"000d60c255ea40d",1
"CH//AntwerpOutlet",20221027,"000d60c255ea40d",1
"CH//AntwerpOutlet",20220917,"0012b783cc24610",1
NA,20221007,"0012b783cc24610",NA
"CH//LeuvenStyles",20220903,"00184a25beb0581",1
"CH//GhentBoutique",20220910,"00184a25beb0581",1
"CH//NamurPoint",20220916,"00184a25beb0581",1
"CH//NamurPoint",20220917,"00184a25beb0581",1
"CH//LeuvenStyles",20220918,"00184a25beb0581",1
"CH//Franchise_NL",20220923,"00184a25beb0581",1
"CH//NamurPoint",20220924,"00184a25beb0581",1
"CH//GhentBoutique",20220924,"00184a25beb0581",1
"CH//OstendStore",20220925,"00184a25beb0581",1
"CH//LeuvenStyles",20220925,"00184a25beb0581",1
"CH//LeuvenStyles",20221001,"00184a25beb0581",1
"CH//GenkGallery",20220916,"0028a2c5a106b50",1
"CH//OstendStore",20220916,"0028a2c5a106b50",1
"CH//GenkGallery",20220917,"0028a2c5a106b50",1
"CH//CharleroiDepot",20220921,"0028a2c5a106b50",1
"CH//CharleroiDepot",20220922,"0028a2c5a106b50",1
"CH//BruggeSquare",20220923,"0028a2c5a106b50",1
"CH//NamurPoint",NA,"0028a2c5a106b50",1
"CH//MonsPlaza",20220923,"0028a2c5a106b50",1
"CH//BrusselsMart",20220924,"0028a2c5a106b50",1
"CH//OstendStore",20220925,"0028a2c5a106b50",1
"CH//AalstEmporium",20220927,"0028a2c5a106b50",1
"CH//BrusselsMart",20220927,"0028a2c5a106b50",1
"CH//NamurPoint",20220927,"0028a2c5a106b50",1
"CH//GenkGallery",20220927,"0028a2c5a106b50",1
"CH//GenkGallery",20220928,"0028a2c5a106b50",1
"CH//NamurPoint",20220928,"0028a2c5a106b50",-1
"CH//BrusselsMart",20220929,"0028a2c5a106b50",1
"CH//NamurPoint",20220929,"0028a2c5a106b50",1
"CH//OstendStore",20220929,"0028a2c5a106b50",1
"CH//LiegeHub",20220929,"0028a2c5a106b50",1
"CH//KortrijkShowroom",20220930,"0028a2c5a106b50",1
"CH//OstendStore",20221001,"0028a2c5a106b50",1
"CH//LeuvenStyles",20221001,"0028a2c5a106b50",1
"CH//BrusselsMart",20221001,"0028a2c5a106b50",1
"CH//CharleroiDepot",20221001,"0028a2c5a106b50",1
"CH//AntwerpOutlet",20221003,"0028a2c5a106b50",1
"CH//BrusselsMart",20221006,"0028a2c5a106b50",1
"CH//GenkGallery",20221007,"0028a2c5a106b50",1
"CH//MonsPlaza",20221007,"0028a2c5a106b50",1
"CH//AalstEmporium",20221008,"0028a2c5a106b50",1
"CH//MonsPlaza",20221008,"0028a2c5a106b50",1
"CH//KortrijkShowroom",20221009,"0028a2c5a106b50",1
"CH//AntwerpOutlet",20221011,"0028a2c5a106b50",1
"CH//LiegeHub",20221012,"0028a2c5a106b50",1
"CH//AntwerpOutlet",20221014,"0028a2c5a106b50",1
"CH//Online",20220324,"002c00ad103704d",1
"CH//Online",20220330,"002c00ad103704d",1
"CH//Online",20220408,"002c00ad103704d",-1
"CH//Online",20220415,"002c00ad103704d",1
"CH//",17530101,"002ced9ed153340",5
"CH//",17530101,"002ced9ed153340",2
"CH//",17530101,"002ced9ed153340",6
"CH//",17530101,"002ced9ed153340",1
"CH//",17530101,"002ced9ed153340",4
"CH//",20210311,"003d486b0890a6e",1
"CH//",20210311,"003d486b0890a6e",1
"CH//",NA,"003d486b0890a6e",1
"CH//",20210311,"003d486b0890a6e",1
"CH//",20210311,"003d486b0890a6e",1
"CH//NamurPoint",20220427,"004500f185dec53",1
"CH//BrusselsMart",20221016,"005bcd221e2062e",1
"CH//Franchise_NL",20221018,"005bcd221e2062e",1
"CH//BrusselsMart",20221019,"005bcd221e2062e",1
"CH//MechelenCenter",20221019,"005bcd221e2062e",1
"CH//HasseltFashions",20221020,"005bcd221e2062e",1
"CH//Franchise_NL",20221021,"005bcd221e2062e",1
"CH//HasseltFashions",20221021,"005bcd221e2062e",1
"CH//LiegeHub",20221022,"005bcd221e2062e",1
"CH//AntwerpOutlet",20221022,"005bcd221e2062e",1
NA,20221022,"005bcd221e2062e",-1
"CH//Franchise_NL",20221024,"005bcd221e2062e",1
"CH//AntwerpOutlet",20221026,"005bcd221e2062e",1
"CH//LeuvenStyles",20221029,"005bcd221e2062e",1
"CH//AntwerpOutlet",20221031,"005bcd221e2062e",1
"CH//BruggeSquare",20221105,"005bcd221e2062e",1
"CH//GhentBoutique",20221105,"005bcd221e2062e",1
"CH//AntwerpOutlet",20221106,"005bcd221e2062e",1
"CH//LeuvenStyles",20221106,"005bcd221e2062e",1
"CH//Franchise_NL",20221107,"005bcd221e2062e",1
"CH//LeuvenStyles",20221111,"005bcd221e2062e",1
"CH//LiegeHub",20221112,"005bcd221e2062e",2
"CH//CharleroiDepot",20221113,"005bcd221e2062e",1
"CH//Online",20220608,"0060a26534cc630",1
"CH//Online",20220624,"0060a26534cc630",-1
"CH//Online",20220705,"0060a26534cc630",1
"CH//Online",20220706,"0060a26534cc630",1
"CH//MechelenCenter",20220306,"00634b3a8315015",1
"CH//NamurPoint",20220307,"00634b3a8315015",1
"CH//BruggeSquare",20220309,"00634b3a8315015",1
"CH//Online",20220310,"00634b3a8315015",1
"CH//AalstEmporium",20220317,"00634b3a8315015",1
"CH//BruggeSquare",20220318,"00634b3a8315015",1
"CH//BruggeSquare",20220319,"00634b3a8315015",1
"CH//BruggeSquare",20220320,"00634b3a8315015",1
"CH//BruggeSquare",20220323,"00634b3a8315015",1
"CH//GhentBoutique",20220323,"00634b3a8315015",1
"CH//BrusselsMart",20220325,"00634b3a8315015",1
"CH//LeuvenStyles",20220327,"00634b3a8315015",1
"CH//MechelenCenter",20220329,"00634b3a8315015",1
"CH//GenkGallery",20220331,"00634b3a8315015",1
"CH//AntwerpOutlet",20220331,"00634b3a8315015",1
"CH//NamurPoint",20220331,"00634b3a8315015",1
"CH//Online",20220603,"0065ace3fe1f721",1
"CH//Online",20220616,"0065ace3fe1f721",-1
"CH//Online",20220423,"0073f21bf4437e3",1
"CH//",20221005,"0075b942eb5df27",1
"CH//",20221005,"0075b942eb5df27",1
"CH//",20221005,"0075b942eb5df27",1
"CH//",20221005,"0075b942eb5df27",1
"CH//GenkGallery",20221022,"0075b942eb5df27",1
"CH//Franchise_NL",20221014,"007fee93357e955",1
"CH//AntwerpOutlet",20221019,"007fee93357e955",1
"CH//Online",20220613,"008ea2a8b36b194",1
"CH//Online",20220710,"008ea2a8b36b194",-1
"CH//Franchise_NL",20220928,"0090a0eb6e4b818",1
"CH//Franchise_NL",20221005,"0090a0eb6e4b818",1
"CH//Franchise_NL",20221010,"0090a0eb6e4b818",-1
"CH//KortrijkShowroom",20221020,"00a2f1f2dd5b1a2",1
"CH//TournaiShop",20221021,"00a2f1f2dd5b1a2",1
"CH//TournaiShop",20221021,"00a2f1f2dd5b1a2",1
"CH//MechelenCenter",20221021,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221021,"00a2f1f2dd5b1a2",1
"CH//AntwerpOutlet",20221021,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221022,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221022,"00a2f1f2dd5b1a2",1
"CH//HasseltFashions",20221022,"00a2f1f2dd5b1a2",1
"CH//OstendStore",20221022,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221022,"00a2f1f2dd5b1a2",1
"CH//OstendStore",20221022,"00a2f1f2dd5b1a2",1
"CH//TournaiShop",20221022,"00a2f1f2dd5b1a2",1
"CH//CharleroiDepot",20221022,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221023,"00a2f1f2dd5b1a2",1
"CH//NamurPoint",20221023,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221023,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221023,"00a2f1f2dd5b1a2",1
"CH//NamurPoint",20221023,"00a2f1f2dd5b1a2",1
"CH//CharleroiDepot",20221024,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221024,"00a2f1f2dd5b1a2",1
"CH//AalstEmporium",20221024,"00a2f1f2dd5b1a2",1
"CH//KortrijkShowroom",20221025,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221025,"00a2f1f2dd5b1a2",1
"CH//LiegeHub",NA,"00a2f1f2dd5b1a2",1
"CH//CharleroiDepot",20221026,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221026,"00a2f1f2dd5b1a2",1
"CH//TournaiShop",20221026,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221027,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221027,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221027,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221027,"00a2f1f2dd5b1a2",1
"CH//AntwerpOutlet",20221028,"00a2f1f2dd5b1a2",1
"CH//AntwerpOutlet",20221028,"00a2f1f2dd5b1a2",1
"CH//KortrijkShowroom",20221029,"00a2f1f2dd5b1a2",1
"CH//AalstEmporium",20221029,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221030,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221030,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221031,"00a2f1f2dd5b1a2",1
"CH//TournaiShop",20221031,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221104,"00a2f1f2dd5b1a2",1
"CH//AalstEmporium",20221104,"00a2f1f2dd5b1a2",1
"CH//NamurPoint",20221105,"00a2f1f2dd5b1a2",1
"CH//AalstEmporium",20221105,"00a2f1f2dd5b1a2",1
"CH//AalstEmporium",20221105,"00a2f1f2dd5b1a2",1
"CH//LeuvenStyles",20221105,"00a2f1f2dd5b1a2",1
"CH//CharleroiDepot",20221105,"00a2f1f2dd5b1a2",NA
"CH//LiegeHub",20221106,"00a2f1f2dd5b1a2",1
"CH//AntwerpOutlet",20221106,"00a2f1f2dd5b1a2",1
"CH//AntwerpOutlet",20221106,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221108,"00a2f1f2dd5b1a2",1
"CH//LiegeHub",20221109,"00a2f1f2dd5b1a2",1
"CH//GhentBoutique",20221109,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221109,"00a2f1f2dd5b1a2",1
"CH//NamurPoint",20221110,"00a2f1f2dd5b1a2",1
"CH//LiegeHub",NA,"00a2f1f2dd5b1a2",1
"CH//CharleroiDepot",20221111,"00a2f1f2dd5b1a2",1
"CH//GenkGallery",20221112,"00a2f1f2dd5b1a2",1
"CH//BrusselsMart",20221112,"00a2f1f2dd5b1a2",1
"CH//OstendStore",20221113,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221114,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221115,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221115,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221116,"00a2f1f2dd5b1a2",1
"CH//MonsPlaza",20221116,"00a2f1f2dd5b1a2",1
"CH//KortrijkShowroom",20221116,"00a2f1f2dd5b1a2",1
"CH//Franchise_NL",20221116,"00a2f1f2dd5b1a2",1
"CH//KortrijkShowroom",20221116,"00a2f1f2dd5b1a2",1
"CH//BruggeSquare",20221116,"00a2f1f2dd5b1a2",1
